UserID,LengthOfScreenName,LengthOfDescriptionInUserProfile,LifetimeAccountInMonth,NumberOfFollowings,NumberOfFollowers,NumberOfTweets,FollowingFollowerRatio,MeanTweetsPerDay,UrlInTweetsRate,UserMentionsRate,MeanTimeSecBetweenTweets,MaxTimeSecBetweenTweets,MeanNbMentionsPerTweet,MeanJaccardSimilarity,TypeOfUser
6301,8,132,39,3269,3071,861,1.06,4.0,0.63,0.24,29386.0,264985.0,1.0,0.07,1
10836,9,134,43,1949,793,226,2.46,2.0,0.6,0.09,262448.0,7649040.0,1.0,0.11,1
10997,12,158,41,1119,9644,38674,0.12,49.0,0.26,0.51,1697.0,43858.0,1.0,0.05,1
633293,11,121,36,2174,6029,12718,0.36,11.0,0.32,0.36,7514.0,74830.0,1.0,0.03,1
717883,6,70,36,7731,7029,873,1.1,10.0,0.68,0.08,13066.0,354362.0,1.0,0.09,1
763068,6,35,41,120,130,686,0.92,4.0,0.47,0.14,27688.0,280844.0,1.0,0.04,1
783705,8,68,39,1660,23977,23205,0.07,10.0,0.32,0.62,7897.0,92023.0,1.0,0.02,1
788352,14,106,34,1320,969,3528,1.36,8.0,0.32,0.5,10779.0,82063.0,1.0,0.03,1
810011,13,59,34,11239,10537,2749,1.07,6.0,0.97,0.04,13392.0,44498.0,1.0,0.03,1
815299,10,120,37,3779,3920,1830,0.96,4.0,0.77,0.3,24356.0,174963.0,1.0,0.02,1
817045,5,63,33,12848,12933,2315,0.99,7.0,0.99,0.01,13897.0,238978.0,1.0,0.02,1
1091571,13,101,33,3697,5129,7819,0.72,10.0,0.23,0.58,8309.0,91989.0,1.0,0.05,1
1303381,14,119,33,2990,3367,2361,0.89,3.0,0.16,0.4,37770.0,310420.0,1.0,0.05,1
1322691,9,22,33,13117,17053,893,0.77,4.0,0.83,0.25,22497.0,171699.0,1.0,0.02,1
1467621,9,134,34,4942,7445,20577,0.66,22.0,0.56,0.26,3275.0,80846.0,1.0,0.09,1
1599001,7,89,34,1591,1683,488,0.95,2.0,0.97,0.04,105135.0,1459168.0,1.0,0.02,1
1907361,6,73,35,4995,4570,3033,1.09,32.0,0.99,0.65,2766.0,140239.0,1.0,0.1,1
2077351,12,138,33,1076,1370,1977,0.79,8.0,0.45,0.17,10794.0,157533.0,1.0,0.02,1
2157321,9,50,34,10316,12272,1896,0.84,2.0,0.18,0.35,114951.0,2146999.0,1.0,0.03,1
2219081,8,0,35,2001,1534,3681,1.3,33.0,1.0,0.0,2309.0,24253.0,0.0,0.01,1
2243161,8,115,33,8266,8134,1309,1.02,3.0,0.98,0.0,26080.0,170906.0,2.0,0.07,1
2269491,7,157,33,745,829,1064,0.9,3.0,0.27,0.36,42316.0,328993.0,1.0,0.04,1
2695911,8,146,35,3452,3467,1146,1.0,7.0,0.95,0.04,11445.0,174727.0,3.0,0.04,1
2884771,8,138,37,62962,1234960,4068,0.05,10.0,0.92,0.11,7904.0,97331.0,1.0,0.02,1
3060631,8,43,34,9214,8372,6667,1.1,18.0,0.96,0.05,4537.0,53700.0,2.0,0.02,1
3076591,11,114,35,18059,17113,3551,1.06,22.0,0.88,0.1,3337.0,20072.0,1.0,0.03,1
3291901,8,105,32,6071,5913,2072,1.03,6.0,0.35,0.44,18791.0,300277.0,1.0,0.07,1
3881391,6,139,33,17100,16779,8002,1.02,9.0,0.28,0.68,8936.0,128693.0,1.0,0.04,1
3908631,10,155,37,1998,1797,3523,1.11,10.0,0.76,0.31,7842.0,88496.0,1.0,0.1,1
4046051,9,55,35,9811,8951,2195,1.1,5.0,0.57,0.44,15681.0,101478.0,1.0,0.06,1
4567451,8,38,35,1715,620,5667,2.77,10.0,0.81,0.16,7923.0,85617.0,1.0,0.28,1
5169871,11,37,33,1060,299,264,3.55,3.0,0.49,0.3,183866.0,4207144.0,1.0,0.05,1
5414782,4,67,32,7133,7060,1950,1.01,7.0,1.0,0.0,12830.0,129796.0,1.0,0.05,1
5439702,6,105,33,13746,15414,4901,0.89,6.0,0.18,0.68,20803.0,567575.0,1.0,0.05,1
5448632,8,116,33,786,341,71,2.3,6.0,0.6,0.25,1547247.0,87538869.0,1.0,0.02,1
5609382,6,130,32,8172,7567,1670,1.08,4.0,0.77,0.25,34656.0,370163.0,1.0,0.04,1
5693062,8,121,32,18933,17429,8103,1.09,50.0,0.98,0.02,1188.0,10203.0,1.0,0.05,1
5732162,14,99,38,22318,22359,1151,1.0,2.0,0.98,0.06,82135.0,643626.0,1.0,0.15,1
5751742,7,37,38,4851,4472,12101,1.08,12.0,0.57,0.39,6315.0,75324.0,1.0,0.07,1
